analysis,claim_or_table,script,public_inputs,public_output,status,integrity_reference,limitation
baseline_ladder,"baseline ladder and history increment",scripts/analysis/baseline_ladder.py,"artifacts/derived/v6/paired_branches.csv",artifacts/derived/phase0/baseline_ladder.json,runnable_public,MANIFEST.sha256,"retrospective; outcome known"
history_increment,"paired interval for history increment",scripts/analysis/history_increment_ci.py,"artifacts/derived/v6/paired_branches.csv",artifacts/derived/phase0/history_increment_ci.json,runnable_public,MANIFEST.sha256,"retrospective; outcome known"
sample_size,"fitting-budget and evaluation-size diagnostics",scripts/analysis/sample_size_curve_robust.py,"artifacts/derived/v6/paired_branches.csv",artifacts/derived/phase0/sample_size_curve_robust.json,runnable_public,MANIFEST.sha256,"subsamples overlap; not a pass probability"
cost_weights,"ten-weight sensitivity",scripts/analysis/cost_weight_sensitivity.py,"artifacts/derived/v6/paired_branches.csv",artifacts/derived/phase0/cost_weight_sensitivity.json,runnable_public,MANIFEST.sha256,"outcome-informed grid"
phase1,"Equation (4), network/condition/direction breakdowns",supplementary/phase1/estimate_pace_ate.py,"sealed raw records: omitted",supplementary/phase1/results/pace_phase1_ate.json,inspection_only_public,MANIFEST.sha256,"portable JSON normalises developer paths; raw sealed branches absent"
phase2_ladder,"post-opening held-block model ladder",supplementary/phase2/model_ladder.py,"V6 derivative present; sealed raw records omitted",supplementary/phase2/results/model_ladder.json,inspection_only_public,MANIFEST.sha256,"cannot rerun sealed scoring from this checkout"
phase2_harm,"harm-threshold sweep and bound floors",supplementary/phase2/selective_policy.py,"V6 derivative present; sealed raw records omitted",supplementary/phase2/results/selective_policy.json,inspection_only_public,MANIFEST.sha256,"post-opening exploratory analysis"
positive_control,"synthetic graph positive control",supplementary/positive_control/analyze_scaled_final.py,"supplementary/positive_control/runs/scaled/per_sample_residuals.npz",supplementary/positive_control/runs/EPLUS_FINAL.json,runnable_public,MANIFEST.sha256,"summary rerunnable; full training requires archived V8 GPU environment"
positive_control_generator,"topology-dependence side check",supplementary/positive_control/verify_generator_graph_dependence.py,"archived V8 graph-search source: omitted",supplementary/positive_control/runs/GENERATOR_GRAPH_DEPENDENCE.json,inspection_only_public,MANIFEST.sha256,"generator rerun requires source snapshot not licensed here"
v8_dplus,"94-trial D+ re-scoring",supplementary/dplus/compare_and_gates.py,"complete V8 trial JSONs: omitted",supplementary/dplus/dplus_summary.json,inspection_only_public,MANIFEST.sha256,"derived CSVs present; trial population absent"
incumbent_invariance,"incumbent-stratified ladder",supplementary/incumbent_invariance/incumbent_invariance.py,"V6 derivative present; sealed raw records omitted",supplementary/incumbent_invariance/results/incumbent_invariance.json,inspection_only_public,MANIFEST.sha256,"validation component rerunnable; sealed component unavailable"
tree_seed_sensitivity,"40 tree seeds",supplementary/incumbent_invariance/seed_sensitivity.py,"artifacts/derived/v6/paired_branches.csv",supplementary/incumbent_invariance/results/seed_sensitivity.json,runnable_public,MANIFEST.sha256,"canonical file seed_sensitivity.json under CPython 3.12.14; legacy file seed_sensitivity_py313_sklearn172.json retained as toolchain sensitivity"
decision_denominators,"V3 1,123,200 and V4 280,800 controller-decision denominators",scripts/analysis/check_decision_denominators.py,"aggregate source digests present; private row-level sources omitted",artifacts/derived/decision_denominators.json,inspection_only_public,MANIFEST.sha256,"identities and rates are publicly checked; --source-root additionally verifies all four private source digests"
sealed_primary,"internally locked 1800-record check",src/evidence_tools/sealed.py,"prediction lock public; frozen model and sealed raw records omitted",artifacts/derived/phase0/sealed_confirmation.json,inspection_only_public,MANIFEST.sha256,"stored result and lock inspectable; end-to-end scoring unavailable"
activity_ratio,"pooled and equal-cluster activity estimands",src/evidence_tools/aar.py,"raw V1/V3 decision traces omitted",artifacts/derived/phase0/aar_funnel.json,inspection_only_public,MANIFEST.sha256,"tool tested; historical raw trace rerun requires private archive"
corpus_inventory,"V1/V2/V3 run counts and V8 376-trial count",scripts/analysis/audit_claims.py,"raw inventory paths omitted",,private_archive_only,MANIFEST.sha256,"reported from retained private archive; not verified by public checkout"
historical_gate_table,"Table 2 V4/V5 Stage-B requirements and observed decision fields",scripts/analysis/audit_claims.py,"V4/V5 verifier and protocol files: private archive",,private_archive_only,MANIFEST.sha256,"17 field-level checks run only in --scope all; none belongs to the 92-check public scope"
